SA102S30	c0000
SA157S27	c0001
SA088S05	c0002
SA145S15	c0003
SA220S02	c0004
SA020S22	c0005
SA122S06	c0006
SA045S10	c0007
SA006S13	c0008
SA084S24	c0009
SA142S21	c0010
SA221S26	c0011
SA173S01	c0012
SA172S24	c0013
SA049S03	c0014
SA005S16	c0015
SA200S26	c0016
SA066S02	c0017
SA128S13	c0018
SA006S24	c0019
SA141S13	c0020
SA021S21	c0021
SA067S08	c0022
SA027S10	c0023
SA188S28	c0024
SA277S04	c0025
SA258S19	c0026
SA158S24	c0027
SA119S28	c0028
SA022S07	c0029
SA107S18	c0030
SA089S18	c0031
SA061S22	c0032
SA131S06	c0033
SA168S27	c0034
SA098S30	c0035
SA221S21	c0036
SA009S14	c0037
SA168S19	c0038
SA188S30	c0039
SA200S15	c0040
SA291S17	c0041
SA169S19	c0042
SA066S01	c0043
SA274S18	c0044
SA144S27	c0045
SA205S04	c0046
SA003S27	c0047
SA014S18	c0048
SA045S03	c0049
SA277S13	c0050
SA027S28	c0051
SA290S05	c0052
SA207S15	c0053
SA086S25	c0054
SA066S27	c0055
SA001S26	c0056
SA061S21	c0057
SA143S20	c0058
SA187S22	c0059
SA098S03	c0060
SA126S29	c0061
SA064S16	c0062
SA012S22	c0063
SA200S14	c0064
SA103S20	c0065
SA132S10	c0066
SA025S11	c0067
SA088S25	c0068
SA063S15	c0069
SA103S22	c0070
SA086S30	c0071
SA011S28	c0072
SA097S18	c0073
SA221S13	c0074
SA004S23	c0075
SA223S06	c0076
SA080S26	c0077
SA045S12	c0078
SA048S26	c0079
SA184S18	c0080
SA108S22	c0081
SA132S15	c0082
SA005S26	c0083
SA177S16	c0084
SA001S13	c0085
SA012S01	c0086
SA047S16	c0087
SA124S09	c0088
SA097S12	c0089
SA087S21	c0090
SA157S20	c0091
SA044S06	c0092
SA161S21	c0093
SA188S17	c0094
SA290S23	c0095
SA276S10	c0096
SA278S09	c0097
SA183S21	c0098
SA171S28	c0099
SA220S12	c0100
SA088S10	c0101
SA227S24	c0102
SA161S24	c0103
SA023S17	c0104
SA067S28	c0105
SA106S24	c0106
SA205S16	c0107
SA294S07	c0108
SA220S21	c0109
SA100S23	c0110
SA186S03	c0111
SA182S29	c0112
SA011S29	c0113
SA108S21	c0114
SA026S11	c0115
SA046S09	c0116
SA225S15	c0117
SA207S21	c0118
SA130S05	c0119
SA257S24	c0120
SA044S02	c0121
SA109S23	c0122
SA040S26	c0123
SA027S17	c0124
SA069S30	c0125
SA107S21	c0126
SA081S21	c0127
SA064S15	c0128
SA201S19	c0129
SA120S27	c0130
SA291S04	c0131
SA020S03	c0132
SA185S05	c0133
SA081S20	c0134
SA201S27	c0135
SA109S13	c0136
SA225S08	c0137
SA165S14	c0138
SA184S09	c0139
SA189S23	c0140
SA160S03	c0141
SA123S19	c0142
SA166S20	c0143
SA132S25	c0144
SA131S03	c0145
SA000S27	c0146
SA163S28	c0147
SA161S06	c0148
SA049S05	c0149
SA227S08	c0150
SA221S24	c0151
SA084S08	c0152
SA141S19	c0153
SA170S18	c0154
SA203S09	c0155
SA069S09	c0156
SA047S21	c0157
SA010S13	c0158
SA274S27	c0159
SA124S24	c0160
SA159S15	c0161
SA159S29	c0162
SA145S09	c0163
SA020S04	c0164
SA257S19	c0165
SA107S22	c0166
SA105S25	c0167
SA017S08	c0168
SA063S16	c0169
SA067S07	c0170
SA274S25	c0171
SA064S23	c0172
SA104S27	c0173
SA272S25	c0174
SA133S06	c0175
SA272S12	c0176
SA082S25	c0177
SA046S29	c0178
SA126S21	c0179
SA185S11	c0180
SA277S19	c0181
SA201S03	c0182
SA062S25	c0183
SA040S15	c0184
SA258S22	c0185
SA223S30	c0186
SA021S12	c0187
SA292S25	c0188
SA126S30	c0189
SA081S06	c0190
SA027S27	c0191
SA128S28	c0192
SA277S25	c0193
SA257S02	c0194
SA220S06	c0195
SA145S20	c0196
SA025S28	c0197
SA259S25	c0198
SA128S20	c0199
SA186S22	c0200
SA175S26	c0201
SA273S04	c0202
SA121S17	c0203
SA088S16	c0204
SA168S15	c0205
SA186S01	c0206
SA220S14	c0207
SA013S14	c0208
SA159S11	c0209
SA027S05	c0210
SA061S27	c0211
